latitude,longitude,
35.654342,139.565084,
35.67100915,139.73300375,
35.70856829,139.67530779,
35.6982242,139.774657,
35.66817361,139.63689446,
35.67994862,139.76884254,
35.6985844,139.7745995,
35.67100666,139.7330008,
35.71094087,139.95351034,
35.6980624,139.7070897,
35.64812068,139.74565923,
35.68870034,139.60056815,
35.67100652,139.73300064,
35.67317513,139.73637552,
35.65432112,139.7080617,
35.70025263,139.48025465,
35.67316077,139.73637782,
35.67308966,139.73642191,
35.70460838,139.64960064,
35.50856499,139.67601702,
35.46619268,139.62269068,
35.67307204,139.73640827,
35.7069637,139.42331348,
35.653821,139.567215,
35.70854648,139.67542875,
35.6788713,139.77323134,
35.694458,139.792208,
35.64691362,139.70218033,
35.65178045,139.54507429,
35.6932704,139.79179036,
35.65178045,139.54507429,
35.65178045,139.54507429,
35.65178045,139.54507429,
35.73792608,139.76102829,
35.7838523,139.6786941,
35.65534567,139.70824151,
35.65178049,139.54507436,
35.67106683,139.73591665,
35.69329,139.791293,
35.65178055,139.5450735,
35.65707069,139.53021482,
35.71264521,139.77591365,
35.65178055,139.5450735,
35.69789146,139.41386461,
35.72838511,139.74771101,
35.7284266,139.74769159,
35.65795005,139.70075369,
35.652892,139.560152,
35.6978566,139.41392899,
35.67657386,139.62995531,
35.69715647,139.75626723,
35.53676622,139.702878,
35.72834942,139.74753884,
35.53132693,139.69690204,
35.67100686,139.73302509,
35.67884895,139.74031665,
35.69715647,139.75626723,
35.72849674,139.74796149,
35.67296977,139.73700098,
35.67976539,139.76381779,
35.72847411,139.747733,
35.72847809,139.74760048,
35.72851638,139.74773431,
35.71062751,139.77897021,
35.71062751,139.77897021,
35.72845717,139.74756131,
35.6985972,139.98727798,
35.646305,139.709272,
35.6560563,139.69335532,
35.656753,139.564328,
35.70741016,139.64970971,
35.59494379,139.34501901,
35.46619268,139.62269068,
35.55383074,139.51158235,
35.68116583,139.69155469,
35.65954106,139.69546228,
35.62703539,139.72178378,
35.65177726,139.54511245,
35.57742264,139.55844104,
35.71060746,139.7789883,
35.46619268,139.62269068,
35.46589558,139.62193966,
35.71264521,139.77591365,
35.53199049,139.43761826,
35.64596856,139.68179308,
35.652278,139.567403,
35.65176719,139.54516996,
35.46357664,139.53231029,
35.71062282,139.7789584,
35.71063576,139.77894992,
35.64887828,139.918348,
35.6948227,139.6975646,
35.489699,139.627881,
35.46361193,139.53133814,
35.53,139.7,
35.69360398,139.64016911,
35.64596753,139.6817949,
35.67656167,139.62995519,
35.65008157,139.67913407,
35.65008157,139.67913407,
35.65008084,139.67921331,
35.6948646,139.6975592,
35.71062886,139.77896202,
35.71264521,139.77591365,
35.65181142,139.54492291,
35.65181142,139.54492291,
35.69464794,139.70346113,
35.650482,139.56252,
35.7838523,139.6786937,
35.71063455,139.77894074,
35.6853806,139.6833693,
35.71156831,139.95901863,
35.6853698,139.6833767,
35.70472688,139.61892441,
35.6558975,139.7054979,
35.68485311,139.78382707,
35.65178686,139.54496078,
35.65178187,139.54505128,
35.6853841,139.6833731,
35.65178104,139.54506403,
35.70366793,139.64980781,
35.6854158,139.6833414,
35.6764839,139.8331054,
35.6517824,139.54505953,
35.6517824,139.54505953,
35.6517824,139.54505953,
35.6853842,139.683375,
35.6710065,139.73300062,
35.70701934,139.42324394,
35.6710065,139.73300062,
35.654246,139.562731,
35.685387,139.6833723,
35.6710065,139.73300062,
35.72495751,139.61131314,
35.67299186,139.73570875,
35.72845022,139.74768899,
35.67342505,139.73584504,
35.72849163,139.74761625,
35.64691362,139.70218033,
35.72840072,139.74780106,
35.72842184,139.74775816,
35.6853827,139.6833598,
35.67312055,139.73543052,
35.67251185,139.73473088,
35.67207597,139.73422987,
35.6717651,139.73387256,
35.6853966,139.6833533,
35.6765734,139.8330807,
35.6765734,139.8330807,
35.67100826,139.73300264,
35.64909923,139.71087351,
35.652074,139.56593,
35.66487104,139.70338716,
35.67100594,139.73299966,
35.6710065,139.73300062,
35.647374,139.566134,
35.6710065,139.73300062,
35.65188639,139.54449367,
35.6853979,139.6833659,
35.65182582,139.54480331,
35.65182582,139.54480331,
35.6766284,139.3881123,
35.69804707,139.74198378,
35.6766284,139.3881123,
35.65183143,139.54475716,
35.65183143,139.54475716,
35.65183828,139.54474109,
35.65183828,139.54474109,
35.653288,139.564158,
35.65183828,139.54474109,
35.65183828,139.54474109,
35.65183828,139.54474109,
35.65183828,139.54474109,
35.65185313,139.54467319,
35.65185313,139.54467319,
35.668147,139.643636,
35.65182338,139.54488035,
35.70665231,139.42370264,
35.68925376,139.58919645,
35.6766284,139.3881123,
35.70610985,139.42438058,
35.658665,139.549799,
35.68816745,139.72036809,
35.66089084,139.70763914,
35.703761,139.543314,
35.683668,139.6968851,
35.653109,139.566943,
35.66070685,139.69807684,
35.6710065,139.73300062,
35.654863,139.564629,
35.652935,139.564287,
35.694048,139.7046873,
35.77501299,139.90538606,
35.77506194,139.9053278,
35.650109,139.572549,
35.64691362,139.70218033,
35.653386,139.560773,
35.65258,139.559325,
35.653662,139.559902,
35.653575,139.561171,
35.65429,139.560262,
35.654502,139.561601,
35.72842617,139.74763472,
35.657597,139.559874,
35.72835797,139.74773417,
35.67177691,139.73459646,
35.67227086,139.73489598,
35.72835031,139.74802989,
35.72840869,139.74780601,
35.67110166,139.73315249,
35.67101469,139.73305198,
35.69454943,139.81361113,
35.72852621,139.74753934,
35.656005,139.566524,
35.654275,139.573596,
35.656066,139.571318,
35.661141,139.57376,
35.661248,139.574794,
35.661214,139.574856,
35.661189,139.574914,
35.72836338,139.74763258,
35.661167,139.574957,
35.661137,139.574965,
35.72839087,139.74768887,
35.67101174,139.73303349,
35.72837387,139.74772136,
35.6724619,139.73465702,
35.67451925,139.73709184,
35.67451523,139.73705026,
35.67355198,139.7360854,
35.67238455,139.73616228,
35.67246061,139.73638625,
35.661095,139.573044,
35.67246061,139.73638625,
35.67246061,139.73638625,
35.67237657,139.73624864,
35.67197891,139.73529671,
35.67209994,139.73501991,
35.67208755,139.73499703,
35.67214177,139.73503503,
35.67214177,139.73503503,
35.660884,139.571751,
35.67222949,139.73504385,
35.70402735,139.64993866,
35.67262324,139.73615784,
35.6991079,139.7060133,
35.67242416,139.73506656,
35.6725622,139.73528679,
